name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"Zack Greinke                  ",425844,SL,"Swinging Strike",Walk,"87.3      ",6.043,-0.951,"3.215               ","1.771               ",1.125,"1.292               ","-11.3     ","7.4       ","702.583   ","119.454   ",14,0,1,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015325,2015-10-04T01:53:25Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,156,
"Zack Greinke                  ",425844,SL,Foul,Groundout,"85.5      ",6.221,-0.983,"2.285               ","2.247               ",0.873,"2.344               ","-8.4      ","7.5       ","598.700   ","135.111   ",14,0,0,2,"Melvin Upton Jr.   grounds out, third baseman Justin Turner to first baseman Adrian Gonzalez.  ",2015-10-03,8,top,030104,2015-10-04T03:01:04Z,518735,483561,"Lance Barrett",0,0,,,,,,111.4500,170.2100,386,
"Zack Greinke                  ",425844,FF,"Called Strike",Strikeout,"92.7      ",6.103,-0.752,"-4.795              ","10.161              ",0.994,"2.239               ","25.1      ","3.8       ","2207.672  ","205.171   ",14,0,2,2,"Robbie Erlin called out on strikes.  ",2015-10-03,5,top,021342,2015-10-04T02:13:42Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,231,
"Zack Greinke                  ",425844,CH,"Swinging Strike (Blocked)",Strikeout,"90.3      ",5.865,-1.252,"-7.525              ","1.745               ",-0.131,"0.922               ","22.5      ","7.4       ","1520.765  ","256.644   ",13,1,2,1,"Jedd Gyorko strikes out swinging.  ",2015-10-03,6,top,022926,2015-10-04T02:29:26Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,279,
"Zack Greinke                  ",425844,SL,"Swinging Strike",Strikeout,"87.8      ",6.321,-0.948,"4.313               ","0.132               ",0.695,"3.431               ","-13.6     ","7.8       ","828.693   ","92.330    ","3 ",2,2,1,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,1,top,011334,2015-10-04T01:13:34Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,14,
"Zack Greinke                  ",425844,FF,"Swinging Strike",Strikeout,"92.8      ",6.107,-0.524,"-0.558              ","11.134              ",1.517,"2.193               ","-.4       ","2.8       ","2242.916  ","182.859   ",14,1,2,0,"Derek Norris strikes out swinging.  ",2015-10-03,8,top,025821,2015-10-04T02:58:21Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,374,
"Zack Greinke                  ",425844,SL,"Swinging Strike",Strikeout,"86.9      ",6.077,-0.939,"3.594               ","0.762               ",0.764,"1.306               ","-11.4     ","8.0       ","693.649   ","102.648   ",14,1,2,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,6,top,022503,2015-10-04T02:25:03Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,265,
"Zack Greinke                  ",425844,FF,"Called Strike","Home Run","92.7      ",6.168,-0.958,"-1.884              ","9.245               ",0.399,"2.918               ","9.2       ","3.5       ","1889.841  ","191.468   ","3 ",0,0,1,"Austin Hedges homers (3) on a fly ball to left center field.  ",2015-10-03,5,top,021124,2015-10-04T02:11:24Z,518735,483561,"Lance Barrett",0,0,,,29.0,103.0,,50.8800,31.1700,218,425.0
"Zack Greinke                  ",425844,SL,Ball,Strikeout,"84.8      ",6.057,-0.923,"2.875               ","1.617               ",0.112,"-0.559              ","-8.6      ","8.2       ","608.785   ","120.067   ",14,1,2,2,"Travis Jankowski called out on strikes.  ",2015-10-03,7,top,024339,2015-10-04T02:43:39Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,327,
"Zack Greinke                  ",425844,FF,Foul,Walk,"93.8      ",5.997,-0.896,"-3.404              ","10.293              ",0.786,"2.445               ","20.9      ","3.2       ","2200.977  ","198.235   ",12,3,2,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015521,2015-10-04T01:55:21Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,161,
"Zack Greinke                  ",425844,FF,Foul,Groundout,"92.8      ",6.048,-1.352,"-2.284              ","9.125               ",-0.913,"2.600               ","13.1      ","3.7       ","1883.091  ","193.994   ",11,0,1,0,"Cory Spangenberg grounds out, second baseman Howie Kendrick to first baseman Adrian Gonzalez.  ",2015-10-03,1,top,011056,2015-10-04T01:10:56Z,518735,483561,"Lance Barrett",0,0,,,,,,145.9700,165.8400,4,
